station_name,station_code,electric_bikes,mechanical_bikes,total_bikes_available,capacity,coordinates
Gare Montparnasse - René Mouchotte,14117,3,2,5,41,"[48.839203843292, 2.3208839446306]"
Réunion - Avron,20132,1,0,1,26,"[48.852566752033766, 2.403928068708116]"
Place Jean-Baptiste Clément,42707,3,3,6,24,"[48.81240466867336, 2.3617091774940495]"
Chanzy - Sud-Est,92003,5,1,6,25,"[48.888912037698766, 2.195632159709931]"
Jean Lolive - Parc Stalingrad,35009,11,2,13,22,"[48.89206174403158, 2.4091735482215886]"
Verdun - Place Henri IV,21502,1,4,5,26,"[48.870797375639214, 2.2277003154158592]"
Place Carnot,31012,1,1,2,25,"[48.85593932186797, 2.441531717777252]"
Gare de Bercy,12024,4,15,19,35,"[48.839794573906, 2.3826066032052]"
Ceinture du Lac Inferieure - Saint-Cloud,16129,13,6,19,42,"[48.86218070933143, 2.2617871686816216]"
Boyer-Barret - Raymond Losserand,14104,0,0,0,23,"[48.83329880233322, 2.3173383995890617]"
Piat - Parc de Belleville,20113,1,0,1,21,"[48.87195626635528, 2.384981390278095]"
Square des Saint-Simoniens,20119,0,0,0,25,"[48.8701796, 2.3967273]"
Assas - Vaugirard,6030,4,12,16,35,"[48.848274111398, 2.3292413726449]"
Raymond Poincaré - Allée de la Marche,23802,2,1,3,23,"[48.838634069623, 2.1724102640451]"
Gravelle - Route du Bac,12126,3,8,11,51,"[48.824407, 2.418455]"
Lagny - Joffre,41604,10,15,25,31,"[48.84930687084088, 2.417949736118317]"
Emeriau - Place de Brazzaville,15029,2,48,50,51,"[48.850785261674964, 2.2871585190296173]"
Tardieu - Chappe,18005,0,0,0,18,"[48.884146759782, 2.341845408082]"
Petites Ecuries - Faubourg Poissonnière,10005,1,9,10,17,"[48.87397217237368, 2.348388757504776]"
Lamennais - Washington,8102,17,5,22,40,"[48.873529900265, 2.303444892168]"
Place Falguière,15017,0,0,0,23,"[48.83629973941847, 2.3104464635252953]"
Francoeur - Marcadet,18020,2,1,3,20,"[48.89104123261663, 2.340014585442034]"
Vignerons - Minimes,43006,5,15,20,29,"[48.841486, 2.430793]"
Grenelle - Dr Finlay,15028,3,41,44,71,"[48.851315406715976, 2.2919502854347233]"
Place Valhubert,5116,5,11,16,51,"[48.844182577315, 2.3640366643667]"
Batignolles - Place de Clichy,8012,0,0,0,47,"[48.883474535757, 2.326493114233]"
Château -République,22508,10,3,13,17,"[48.905905048494, 2.2534525632894]"
Gare de Pont-Cardinet,17017,6,2,8,34,"[48.88713901475306, 2.314494143994255]"
Pierre Larousse - Raymond Losserand,14139,1,0,1,30,"[48.83059564231877, 2.3119183257222176]"
Pitié-Salpêtrière,13102,19,18,37,51,"[48.83748810318667, 2.365213818848133]"
Dunkerque - Maubeuge,10204,3,0,3,35,"[48.880432768947, 2.3528900992907]"
Charles Delescluze,11101,4,19,23,49,"[48.85242200848887, 2.380632497370243]"
Charenton - Place du Col Bourgoin,12011,2,18,20,35,"[48.844867319554, 2.3825789350545]"
Bara - Henri Farman,21308,13,22,35,58,"[48.833218027457846, 2.2677567601203923]"
Porte Dorée,12032,9,14,23,36,"[48.8354337, 2.4077132]"
Belleville - Porte des Lilas,19037,2,1,3,32,"[48.87660391892763, 2.404769691129476]"
Indre - Prairies,20021,1,0,1,38,"[48.86254398506782, 2.403290458023548]"
Edouard Vaillant - Paul-Adolphe Souriau,21019,7,15,22,28,"[48.834845858829, 2.2479459643364]"
Labouret - Saint-Denis,27008,1,13,14,24,"[48.924066621513, 2.2539156570765]"
Porte de Saint-Ouen - Henri Huchard,17124,4,6,10,26,"[48.898708366365064, 2.3295360803604126]"
Lucie Aubrac - Franklin,31016,18,4,22,36,"[48.86223916006812, 2.4435862898826604]"
Gare Routière de Saint Cloud,22101,7,21,28,31,"[48.84288183896324, 2.222245037555695]"
Verdun - Adrien Damalix,44102,2,6,8,26,"[48.8222334178559, 2.4215328320860863]"
Eglise d'Auteuil,16032,1,4,5,21,"[48.84749841771691, 2.26848387135299]"
Jean Jaurès - Jean Baptiste Clément,21003,5,13,18,39,"[48.84576261454011, 2.2369650006294255]"
Mairie du 18ème,18025,2,0,2,40,"[48.892939296937605, 2.3445510864257812]"
Mahatma Gandhi,16123,11,9,20,26,"[48.876356, 2.264205]"
Batignolles - Rome,8051,2,0,2,15,"[48.881823370567, 2.3202589899302]"
Paris - Désiré Préaux,31007,10,2,12,49,"[48.85742876694898, 2.4323049187660217]"
Lourmel - Marie Skobtsov,15108,1,21,22,36,"[48.844974, 2.287283]"
République - Danton,41204,1,0,1,20,"[48.85249172181667, 2.462034523487091]"
Square des Epinettes,17121,0,0,0,20,"[48.89383909781389, 2.325953990221024]"
Pajol - Riquet,18109,0,0,0,47,"[48.88960028134536, 2.3628534749150276]"
Square du Carrefour de l'Insurrection,21703,2,1,3,23,"[48.820864559770676, 2.291113436222077]"
Toffier Decaux - Cartier Bresson,35017,3,3,6,18,"[48.90165072551549, 2.4017545580863957]"
Edgar Quinet - Raspail,14002,0,2,2,46,"[48.83940266673835, 2.32971478253603]"
Place Etienne Pernet,15035,2,21,23,43,"[48.84243457133779, 2.2921819612383847]"
Porte d'Aubervilliers,18049,3,4,7,55,"[48.89859661942376, 2.3689722642302513]"
Lepic - Armée d'Orient,18113,2,0,2,24,"[48.887536403814, 2.3343077301979]"
Nanterre - Université,92004,4,4,8,20,"[48.901365, 2.212693]"
Square Saint-Ambroise,11041,10,28,38,43,"[48.860934, 2.375841]"
Sadi Carnot - François Mitterrand,31703,2,0,2,27,"[48.87532687671517, 2.4241617321968083]"
Paul Signac - Aristide Briand,31025,0,0,0,35,"[48.869502621564, 2.450226098299]"
Hameau Fleuri - Marché,21014,6,3,9,22,"[48.831448892608314, 2.2412404417991643]"
Ledru-Rollin - Place du Père Chaillet,11006,2,4,6,37,"[48.856433706943704, 2.379020587761426]"
Ecole Vétérinaire,47005,9,14,23,36,"[48.81488859822486, 2.4224362157778994]"
Méchain - Faubourg Saint-Jacques,14112,0,1,1,16,"[48.83586772099485, 2.33798034198275]"
Stade Auguste Delaune,47004,2,5,7,21,"[48.80896378683884, 2.4345204234123234]"
Belliard - Damrémont,18033,0,0,0,34,"[48.89669238777841, 2.338023450388167]"
Route de la Muette - Porte de Neuilly,16122,4,3,7,50,"[48.8798926, 2.2587671]"
Président Wilson - Jean Jaures,23007,8,12,20,27,"[48.89034054052266, 2.2920683026313786]"
Gare RER de Saint-Denis,32015,1,11,12,40,"[48.93554324248177, 2.3471488058567047]"
Place de Passy,16043,3,0,3,15,"[48.85780291711202, 2.277500546942199]"
Naples - Rome,8019,0,2,2,26,"[48.879960700846226, 2.321358695626259]"
Square Léon,18008,0,0,0,33,"[48.88667396788626, 2.353205569088459]"
Chernoviz - Raynouard,16112,2,2,4,37,"[48.8569864146289, 2.282173218142987]"
Eugène Oudiné - Dessous Des Berges,13046,4,11,15,44,"[48.8256423, 2.3750226]"
Mont Valérien - Michel Salles,22102,1,1,2,24,"[48.8561915, 2.2152966]"
Gare Montparnasse - Vaugirard,15003,3,2,5,66,"[48.8418071798797, 2.31951002690117]"
Diderot - Reuilly,12161,1,32,33,44,"[48.847208456061, 2.3861273378134]"
Palais des Sports,15107,0,19,19,22,"[48.833468517426, 2.2858720645308]"
Caulaincourt - Place Constantin Pecqueur,18017,1,0,1,44,"[48.889677905028, 2.3381787144261]"
Hôpital Pitié Salpêtrière,13103,4,1,5,50,"[48.8377016, 2.3604946]"
Cloys - Ordener,18209,0,0,0,38,"[48.89353865165, 2.3364427977844]"
Stade Gaston Bouillant,23903,8,3,11,30,"[48.939958667023, 2.3279571813836]"
Blaise-Desgoffe - Vaugirard,6027,1,2,3,32,"[48.846128877747, 2.3242672160268]"
Vieille du Temple - Francs Bourgeois,4013,10,13,23,29,"[48.858256413365815, 2.35821794718504]"
Greneta - Sebastopol,2001,6,16,22,32,"[48.865242333228, 2.3516669869423]"
Manin - Simon Bolivar,19023,0,0,0,26,"[48.876499654127, 2.3794073625991]"
Place du Maquis du Vercors,20019,0,2,2,31,"[48.877321579493575, 2.4083782732486725]"
Station Paris Basketball - Ney - Charles Hermite,18138,4,4,8,20,"[48.898748039775, 2.3645754531026]"
Reims - Porte d'Asnières,17116,3,2,5,26,"[48.891834448210986, 2.300144659954865]"
Tourlaque - Damrémont,18208,1,0,1,16,"[48.887912943261, 2.3328311485014]"
Porte d'Ivry,13041,2,0,2,50,"[48.821768747596, 2.3688706755638]"
Surcouf - Université,7016,4,8,12,58,"[48.861273016278, 2.3094535509142]"
Bercy.,12108,11,26,37,66,"[48.839966914994, 2.3788625746965]"
Saint-Jacques - Tombe Issoire,14006,0,1,1,23,"[48.833206330538864, 2.3369108140468597]"
Duroc - Place de Breteuil,7013,7,27,34,42,"[48.847460641142, 2.3126140236855]"
Charles Robin - Grange aux Belles,10207,2,1,3,23,"[48.877376705016, 2.3698456519833]"
Centenaire - Sorins,31013,7,6,13,45,"[48.85853523359734, 2.4273508787155156]"
Brochant - Square des Batignolles,17016,3,3,6,31,"[48.88818698581028, 2.316861143151153]"
Dupont de l'Eure - Gambetta,20202,1,0,1,31,"[48.8679385, 2.4003649]"
Square Raymond Souplex,18019,5,1,6,52,"[48.89183721478911, 2.335426103165901]"
Rougemont - Poissonnière,9012,10,24,34,44,"[48.871611569354755, 2.345873080193996]"
Saint-Blaise - Mouraud,20017,1,0,1,27,"[48.85696177597818, 2.40869477391243]"
Hôtel de Ville de Levallois Perret,23008,7,3,10,26,"[48.89314451997415, 2.2888818383216862]"
Convention - Saint-Charles,15063,1,13,14,23,"[48.843156111116, 2.2831090539694]"
Pont de Lodi - Dauphine,6014,7,8,15,23,"[48.855296898603285, 2.339947307565249]"
Romain Rolland,14116,3,0,3,25,"[48.820215229662765, 2.3234144234418346]"
Gambetta - Michelet,31018,3,4,7,33,"[48.85273792380526, 2.429966032505036]"
République - Henri Barbusse,33005,0,6,6,32,"[48.90661553626751, 2.389432489871979]"
Jeûneurs - Mulhouse,2110,5,2,7,28,"[48.868997, 2.346925]"
Roquépine - Malesherbes,8015,15,31,46,53,"[48.873450733908, 2.3204044997692]"
Poissy - Saint-Germain,5019,8,7,15,25,"[48.84969649427, 2.3529685288668]"
Claude Vellefaux - Sambre et Meuse,10164,2,0,2,34,"[48.875022, 2.370478]"
Faidherbe - Dahomey,11107,2,40,42,44,"[48.851358329771806, 2.383823134795429]"
Bleue - Trévise,9113,2,12,14,30,"[48.87578906564573, 2.347289621829987]"
Mornay - Sully,4109,1,12,13,15,"[48.84970399548416, 2.364460788667202]"
Place du Canada,8029,15,16,31,58,"[48.865346269363, 2.3101937879648]"
Place Mireille Havet,11048,4,34,38,43,"[48.850533, 2.383756]"
Square Georges Melies,12154,6,7,13,40,"[48.84070239213081, 2.409667745232582]"
Charles de Gaulle - Louis Philippe,22017,11,10,21,28,"[48.881742142181, 2.2710045335353]"
Jardin Marguerite Long,17104,6,3,9,22,"[48.8816985773914, 2.2836575657129288]"
Argenson - Château,22002,0,11,11,25,"[48.888559314669514, 2.2642001509666447]"
Place de l'Eglise - Pantin,35008,10,1,11,30,"[48.892809461520265, 2.4124351143836975]"
Butte aux Cailles - Esperance,13022,1,1,2,36,"[48.82758774190948, 2.3492151126265526]"
Louis Ganne - Davout,20045,0,1,1,30,"[48.86338720692607, 2.409725748002529]"
Square du Bataclan,11044,2,17,19,20,"[48.8633762, 2.3711327]"
Sorbonne - Ecoles,5030,38,19,57,69,"[48.849686566191, 2.3434996604919]"
Place Tony de Graaff,21952,1,24,25,42,"[48.8181645, 2.2458109]"
Hippodrome de Paris Vincennes,12507,1,2,3,105,"[48.820484866661, 2.4502807724015]"
Brochant - Clichy,17005,6,2,8,53,"[48.89032998912038, 2.319730559929781]"
Madeleine Michelis - Roule,22012,2,6,8,25,"[48.88260431301364, 2.2773634269833565]"
Lac Daumesnil - Saint-Maurice,12120,2,6,8,50,"[48.82774555743318, 2.4183654785156246]"
René Binet - Porte de Montmartre,18035,8,4,12,37,"[48.89905109950848, 2.3365534096956253]"
Moulin de la Pointe,13110,0,0,0,22,"[48.82092946051445, 2.3563179373741145]"
Docteur Calmette - Martre,21120,3,10,13,30,"[48.898969358483, 2.3086513252383]"
Dareau - Broussais,14125,1,0,1,24,"[48.8307758, 2.3361804]"
Le Corbusier - Jean Jaurès,21009,4,39,43,46,"[48.83780830557548, 2.2408381104469304]"
Pont De Charenton,44103,1,6,7,18,"[48.8179685, 2.4199531]"
Pierre Brossolette - Adolphe Pinard,22403,1,0,1,24,"[48.821772279548, 2.3131558299065]"
Vivienne - Petits Champs,2201,0,0,0,30,"[48.867331390877, 2.3391437530518]"
Odessa - Départ,14127,1,3,4,39,"[48.842885590081, 2.3244281485677]"
Véron - Lepic,18114,0,0,0,23,"[48.885261233953, 2.3345598578453]"
Place Centrale,21951,8,3,11,22,"[48.78740167690531, 2.2278830409049992]"
Gare de Nanterre Ville,92005,11,5,16,43,"[48.8950295, 2.1957932]"
Senard - Charles Blum,22103,2,0,2,24,"[48.857315824799, 2.221091687679291]"
Sambre et Meuse - Villette,10039,5,1,6,25,"[48.874405666217, 2.3738072379951]"
Guy Môquet - Saint-Ouen,17001,3,2,5,53,"[48.892777719023975, 2.3270335793495183]"
Bois de Vincennes - Porte Jaune,12129,0,1,1,35,"[48.838751246689455, 2.4605489149689674]"
Place du Président Salvador Allende,35004,26,6,32,60,"[48.897307310356055, 2.40079153681279]"
Clapeyron - Moscou,8011,7,1,8,15,"[48.88078819514121, 2.324815057218075]"
Paul Klee - Place Augusta Holmes,13020,18,0,18,43,"[48.838946417408025, 2.3704235663952966]"
Versailles - Résistances,43203,0,0,0,1,"[48.75695884522, 2.3885755413796]"
Constantine - Université,7010,5,21,26,65,"[48.860680473738, 2.3148481955842]"
Santé - Arago,14113,1,2,3,38,"[48.83507657562064, 2.3415737262044938]"
Averroès - Aimé Césaire,35015,7,5,12,19,"[48.91405323432864, 2.412636950612068]"
Paul Barruel - Vaugirard,15019,5,5,10,39,"[48.84014918546239, 2.3044332861900334]"
Evariste Galois,20203,1,0,1,21,"[48.873341356228, 2.4133544409574]"
Commandant l'Herminier - Gallieni,20004,4,5,9,17,"[48.847040552603, 2.4160453677177]"
Pyramide - Parc Floral,12125,8,6,14,50,"[48.837442, 2.440452]"
Auguste Blanqui - Glacière,13515,3,16,19,60,"[48.831151602964, 2.343822196126]"
Demi-Lune - Aristide Briand,31026,0,0,0,20,"[48.8762638192, 2.4562818557024]"
Charles Lecocq - Lecourbe,15131,3,25,28,48,"[48.84044, 2.294867]"
Quai de Valmy,10037,0,1,1,26,"[48.88126951579429, 2.368186041712761]"
Athènes - Clichy,9036,1,1,2,20,"[48.878113787876, 2.32956021945824]"
Stade Georges Carpentier,13117,5,6,11,40,"[48.820482438381, 2.3668321967125]"
Mazagran - Pierre de Coubertin,13027,0,3,3,15,"[48.816218640260445, 2.344226874411106]"
Neuilly - Petit,21118,2,7,9,16,"[48.898965361341254, 2.29627937078476]"
Belleville - Couronnes,20039,3,1,4,50,"[48.868831082877, 2.3809862136841]"
Place Jules Ferry,21203,1,1,2,28,"[48.812107928414775, 2.325837314128876]"
Gare de l'Est - Fidélité,10017,2,3,5,15,"[48.874575, 2.356796]"
Saint-Didier - Raymond Poincaré,16009,4,1,5,17,"[48.86642312020962, 2.285863497192411]"
Cours de l'Ile Seguin - Parc Billancourt,21029,2,18,20,29,"[48.82714055843935, 2.234234511852265]"
André Maurois - Joseph et Marie Hackin,16003,1,5,6,29,"[48.8778983, 2.2789591]"
Sérurier - Alphonse Aulard,19208,3,0,3,16,"[48.880528901839, 2.398028970957]"
Eylau - Trocadéro,16014,1,2,3,24,"[48.863354122371, 2.2864209115505]"
Longchamp - Place d'Iéna,16007,4,2,6,10,"[48.864917233434, 2.2926748171449]"
Chancé Milly - Cimetière Communal Sud,21115,2,13,15,32,"[48.89687189382465, 2.303922325372696]"
Marc Sangnier - Division Leclerc,42304,0,4,4,24,"[48.78599652305309, 2.329955510795116]"
Pierre Levée - Fontaine Timbaud,11109,4,0,4,23,"[48.86632723374305, 2.3711163550615306]"
Paul Vaillant-Couturier - Gare RER,44002,2,4,6,26,"[48.80108159069614, 2.402097210288048]"
Commerce - Letellier,15123,6,31,37,44,"[48.84797660373612, 2.2966245196598805]"
Fessart - Château,21030,2,3,5,20,"[48.84245, 2.23989]"
Ranelagh - Maison de la Radio,16024,4,14,18,22,"[48.85293603169479, 2.280449643731117]"
Brancion - Lefebvre,15043,0,0,0,11,"[48.82900222785569, 2.301431038163409]"
Docteurs Déjérine - Pte de Montreuil,20009,2,0,2,20,"[48.85398448133697, 2.41208288897222]"
Jean-Pierre Timbaud - Vaucouleurs,11032,5,3,8,47,"[48.867937, 2.377885]"
Vaugirard - Verrerie,21955,4,9,13,26,"[48.820881336842, 2.2367222622987]"
Malakoff - Place de la Porte Maillot,16101,13,9,22,28,"[48.876733496638, 2.2834577411413]"
Martignac - Grenelle,7203,5,4,9,25,"[48.858278471985, 2.3187066793468]"
Petit Palais,8001,16,11,27,46,"[48.8667692, 2.3157655]"
Vinaigriers - Magenta,10012,5,4,9,25,"[48.8731167, 2.3593052]"
Quai aux Fleurs - Pont Saint-Louis,4003,5,13,18,21,"[48.852915956209, 2.3521957173944]"
Arcole - Notre-Dame,4001,1,9,10,14,"[48.853883541328, 2.3493797332048]"
Marignan - Champs-Elysées,8013,11,5,16,63,"[48.869495661232, 2.3066138139003]"
Jean Calvin - Tournefort,5014,14,9,23,28,"[48.84158856925782, 2.348489575088024]"
Charles Gide - Fort de Bicêtre,42701,0,0,0,30,"[48.8071937956922, 2.353984415531159]"
Place de la Porte de Passy,16020,3,0,3,36,"[48.857341095470794, 2.2644165538827115]"
George V - Christophe Colomb,8549,14,4,18,24,"[48.87046, 2.30104]"
Daumesnil - Hébrard,12043,2,24,26,40,"[48.8429, 2.38474]"
Jourdan - Monticelli,14131,3,0,3,30,"[48.822032, 2.329095]"
Porte d'Asnières,17023,3,10,13,36,"[48.89035817610495, 2.3036286234855656]"
Marché aux fleurs,4002,2,10,12,23,"[48.855258115391, 2.3473754525185]"
Place de l'Europe - Quai de Bercy,42209,0,0,0,17,"[48.82529858840266, 2.3945679143071175]"
Charonne - Pierre Bayle,11021,2,0,2,23,"[48.858445054262, 2.3903981223891]"
Emeriau - Beaugrenelle,15030,4,67,71,74,"[48.84791249714942, 2.2843059897422795]"
Gare de Lyon - Chalon,12007,4,40,44,45,"[48.845666194202, 2.3741452395916]"
Place de la Gare,47001,19,22,41,46,"[48.80253358011283, 2.4275037646293645]"
Place Mongolfier,44101,0,12,12,39,"[48.815160030060376, 2.4592879414558415]"
Italie - Jardin Joan Miro,13032,4,3,7,26,"[48.81990914045756, 2.3592948541045193]"
Javel - André Citroën,15064,1,39,40,45,"[48.846276485475, 2.2786368057132]"
Jean Moulin - Place Victor et Hélène Basch,14010,2,3,5,41,"[48.82764910241, 2.3261967301369]"
Quai de la Gare - Pont de Bercy,13128,3,15,18,30,"[48.83730787972, 2.3740861260598]"
Batignolles - Beudant,8020,2,1,3,44,"[48.882164014664, 2.3198529705405]"
Mairie de quartier du Plateau - Mont-Valérien,92001,1,3,4,20,"[48.8799933, 2.2072437]"
Berthier - Place Stuart Merril,17107,0,12,12,37,"[48.885927922355044, 2.2933450341224675]"
Vaugirard - Pasteur,15004,1,0,1,21,"[48.84040868803496, 2.3154367133975033]"
Voltaire - Anatole France,23010,10,16,26,27,"[48.891999360256904, 2.284262739121914]"
Goutte d'or - Barbès,18007,0,0,0,20,"[48.885124323627, 2.3496962338686]"
Place Jacques et Thérèse Tréfouël,15005,10,5,15,43,"[48.842726498317, 2.3125657439232]"
Square Louise Michel,18006,3,0,3,36,"[48.884687354509, 2.3441386967897]"
Douai - Pierre Fontaine,9027,0,1,1,25,"[48.88229101148092, 2.33324121683836]"
Monceau - Malesherbes,8037,8,2,10,38,"[48.8795079, 2.3145456]"
Place Edmond Michelet,4020,5,14,19,23,"[48.860134890542, 2.3500636965036]"
Emile Zola - Fondary,15022,4,21,25,42,"[48.847051143113745, 2.2953405976295476]"
Paul Vaillant-Couturier - Victor Hugo,23004,3,5,8,36,"[48.89819702263572, 2.293848017974069]"
Estrapade - Ulm,5012,8,2,10,16,"[48.84512772828, 2.3454568170362]"
La Jarry - Place Diderot,43010,2,0,2,25,"[48.849726940367, 2.4520137906075]"
Charonne - Bureau,11017,1,0,1,47,"[48.854176, 2.396093]"
Charles Tillon - Cimetière Communal,33015,1,17,18,30,"[48.91844023641836, 2.3935630917549138]"
Delizy - Louis Nadot,35006,11,2,13,22,"[48.896212845581346, 2.4094578623771667]"
Île de la Jatte,22015,3,2,5,23,"[48.894036161302104, 2.2666339203715324]"
Place Saint-Just,44005,7,1,8,22,"[48.790379518724265, 2.3895226791501045]"
Toqueville - Cardinet,17119,2,0,2,33,"[48.88490187110713, 2.3109393194317818]"
Cambronne - Villa Croix Nivert,15011,6,19,25,62,"[48.845847561366, 2.3017574474216]"
Gérando - Rochechouart,9004,4,0,4,21,"[48.88294340845, 2.3464846238494]"
Saint-Germain - Ciseaux,6012,8,7,15,18,"[48.853305277595, 2.3344654618827]"
Auguste Blanqui - Corvisart,13009,1,3,4,26,"[48.8300989, 2.3502726]"
Balzac - Olympes de Gouges,44016,8,3,11,28,"[48.778503324868, 2.4006786569953]"
Quai du Président Roosevelt - Pont Aval,15311,9,19,28,30,"[48.834388367639, 2.2656820714474]"
Conservatoire de Musique,46003,3,1,4,25,"[48.770935866676, 2.4034014344215]"
Dunkerque - Trudaine,9006,1,1,2,16,"[48.88215166773376, 2.3463253676891327]"
Joseph Dijon - Ornano,18030,0,1,1,37,"[48.89374453351521, 2.3476678133010864]"
Place Monge,5024,2,2,4,21,"[48.842761803051, 2.3524079471827]"
Chemin de Bretagne,21314,4,4,8,29,"[48.824753068884, 2.2588385956052]"
Picpus - Louis Braille,12038,2,8,10,58,"[48.839988788912, 2.4005256685521]"
Crozatier - Faubourg Saint-Antoine,12005,5,7,12,42,"[48.850440013405, 2.378901366211]"
Rottembourg - Général Michel Bizot,12155,0,19,19,42,"[48.83787825992554, 2.4044052511453633]"
Geoffroy - Marie,9011,5,1,6,20,"[48.873781940593325, 2.344513876337893]"
Godot de Mauroy - Madeleine,9034,4,10,14,22,"[48.869789, 2.326347]"
Madagascar - Meuniers,12035,1,1,2,47,"[48.83460464474706, 2.3970650508999825]"
Buffon - Jardin des Plantes,5115,1,22,23,30,"[48.842668466104875, 2.3618587106466293]"
Louis Xavier de Ricard - Ancienne Mairie,41211,2,2,4,34,"[48.84629899065091, 2.472420372068882]"
Lebrun - Colonel Fabien,44011,0,0,0,27,"[48.78266870733145, 2.381317801773548]"
Champs-Elysees - Bassano,8116,0,0,0,25,"[48.871811807816, 2.300238981843]"
Charenton - Prague,12101,0,20,20,26,"[48.848175129981, 2.3763584494312]"
Hôpital Necker,15129,0,12,12,40,"[48.846043490118454, 2.313245013356209]"
Bourg l'Abbé - Saint-Martin,3102,3,36,39,61,"[48.863933319493, 2.352406270802]"
Barrault - Place de Rungis,13206,1,10,11,49,"[48.822658791556, 2.3467585146383]"
Hôtel de Ville de Sèvres,23102,7,3,10,32,"[48.824363561289, 2.2131047397852]"
Marché Saint-Germain,6022,7,6,13,21,"[48.85165625855281, 2.335500307381153]"
Place Aimé Césaire,21402,8,4,12,27,"[48.783194713067815, 2.2429127991199493]"
Gare RER - Malleret-Joinville,41403,8,11,19,20,"[48.802936, 2.42531]"
Bruant - Vincent Auriol,13018,5,14,19,25,"[48.834848452929, 2.3668264996271]"
Place Charles Michels,15127,2,32,34,37,"[48.846401, 2.28502]"
Marne - Charles de Gaulle,41401,1,4,5,27,"[48.815071719544434, 2.4121668934822087]"
Saint-Benoît - Jacob,6002,1,11,12,23,"[48.85545136013941, 2.3334722220897675]"
Davout - Volga,20044,1,0,1,28,"[48.852919679957296, 2.410522909779111]"
Porte de la Muette,16019,9,8,17,36,"[48.86302317841182, 2.2687188170157406]"
Landy - Heurtault,33012,2,1,3,30,"[48.915096534520316, 2.375951372087002]"
Pavé Grignon - Bretagne,43202,6,1,7,20,"[48.757398255499, 2.4012465523091]"
Paradis - Hauteville,10019,3,16,19,31,"[48.874999954666755, 2.3522757401923404]"
Bréguet - Sabin,11033,2,29,31,33,"[48.856931678257, 2.3706749462105]"
Stalingrad - Rigollots,41203,5,0,5,51,"[48.84997403844251, 2.45557576417923]"
Université Paris Est Créteil,40006,21,0,21,43,"[48.787714467944, 2.4461909509055]"
Reuilly - Place Felix Eboue,12036,12,5,17,42,"[48.84030274499962, 2.394630398715453]"
Flandrin - Longchamp,16012,9,10,19,42,"[48.86877849178477, 2.274354539176829]"
Claude Vellefaux - Hôpital Saint-Louis,10032,2,2,4,32,"[48.872859139003, 2.3700717069851]"
Place de la Nation - Picpus,12015,0,0,0,36,"[48.846821681548, 2.4001130461693]"
Maxime Gorki - Louis Aragon,48004,0,0,0,20,"[48.78909814728443, 2.368387877941132]"
Grande Truanderie - Saint-Denis,1006,7,16,23,33,"[48.8626302, 2.3498075]"
Henri Ravera - Gabriel Péri,22201,7,1,8,30,"[48.79722273833844, 2.302115857601166]"
Jules Vallès - Charonne,11112,0,3,3,23,"[48.854284379935, 2.3847674578428]"
Bourdon - Pont Morland,4006,9,21,30,52,"[48.8478103, 2.3659356]"
Diane Arbus,18202,6,5,11,38,"[48.898800717199, 2.3524022474885]"
Perle - Vieille du Temple,3008,10,14,24,36,"[48.8601346, 2.3611206]"
Epée de Bois - Mouffetard,5015,4,9,13,63,"[48.841508690388835, 2.350066713988781]"
Roger Salengro - Général de Gaulle,45002,9,7,16,27,"[48.820029010376956, 2.4846760556101803]"
Cadix - Hameau,15128,0,30,30,37,"[48.8340107632249, 2.289516180753708]"
Turbigo - Française,1007,3,10,13,16,"[48.86358858111446, 2.3477794602513313]"
Mairie d'Issy,21309,2,35,37,41,"[48.823767792468, 2.2723111510277]"
Place des Abbesses,18004,0,0,0,12,"[48.884542726149725, 2.3386867716908455]"
Leibniz - Jean Dollfus,18034,1,1,2,32,"[48.896328348515986, 2.333390423834684]"
Louis Lumière.,20104,1,1,2,22,"[48.86216198070008, 2.41112578185621]"
Gare Saint-Lazare - Stockholm,8110,1,4,5,32,"[48.877127316667654, 2.322417162358761]"
Beaubourg - Michel-le-Comte,3010,3,8,11,17,"[48.862534941806, 2.3543103039265]"
Niger - Soult,12156,2,3,5,24,"[48.84369906369085, 2.410361237220498]"
Centquatre,19002,3,0,3,42,"[48.889333538455, 2.3707854375243]"
Centre Georges Pompidou,4021,4,19,23,26,"[48.861419, 2.352581]"
Sorbier - Ménilmontant,20034,2,1,3,24,"[48.868542395661, 2.3897721245885]"
Cordelières - Arago,13005,1,32,33,60,"[48.83548071896613, 2.348572461702221]"
Phalsbourg - Villiers,17019,5,0,5,20,"[48.88242307900951, 2.3090453445911407]"
Bargue -  Dutot,15132,3,0,3,21,"[48.837884, 2.308876]"
Pyrénées - Plaine,20006,2,1,3,12,"[48.85026702458, 2.4062821269035]"
Bourse du Travail,10011,1,15,16,17,"[48.868976638826, 2.3623438552022]"
Gare de Bellevue,21953,1,0,1,20,"[48.8192404685572, 2.2295309230685234]"
Sarrette - Général Leclerc,14019,1,4,5,22,"[48.825030852925, 2.3264128693982]"
Petites Ecuries - Faubourg Saint-Denis,10006,3,5,8,28,"[48.872871205898, 2.3542150855064]"
Dunkerque - Alsace,10027,2,2,4,20,"[48.879355, 2.358379]"
Lacuée - Lyon,12002,7,2,9,16,"[48.849268481958, 2.3704585433006]"
Maurice Payret-Dortail,21506,6,4,10,22,"[48.87811957063342, 2.2233625128865246]"
Parme - Clichy,9037,2,1,3,24,"[48.881266424227, 2.3281970934506]"
