station_name,station_code,electric_bikes,mechanical_bikes,total_bikes_available,capacity,coordinates
Porte de Clignancourt.,18032,3,0,3,56,"[48.897488, 2.343996]"
Génie - Mozart,44012,0,2,2,19,"[48.794902381218904, 2.3734183609485626]"
Place du Maréchal Juin - Péreire,17027,3,6,9,46,"[48.885263, 2.298286]"
Filles Saint-Thomas - Place de la Bourse,2009,21,25,46,58,"[48.868899890853, 2.3397543845203]"
Hôtel de Ville d'Argenteuil,51003,7,3,10,30,"[48.946504, 2.2496396]"
Primo Levi - Frigos,13016,11,23,34,34,"[48.83094844846017, 2.37965351592796]"
Dunois - Clisson,13043,1,4,5,51,"[48.832294, 2.3674523]"
Milton - Manuel,9115,1,2,3,22,"[48.878249, 2.341181]"
Edouard Pailleron - Simon Bolivar,19039,1,1,2,24,"[48.87979886049996, 2.374839261174202]"
Château - Bineau,22001,1,6,7,23,"[48.890404028589806, 2.270106375217438]"
Bridaine - Lamandé,17122,5,1,6,29,"[48.8862074, 2.3206239]"
Porte de Ménilmontant,20027,0,0,0,15,"[48.8691543609174, 2.40932246879487]"
Laffitte - Italiens,9023,18,8,26,33,"[48.871815737396, 2.3372015478451]"
Colonel Monteil - Brune,14122,0,1,1,19,"[48.82650293311, 2.3092747998272]"
Belleville - Télégraphe,19040,1,2,3,41,"[48.8756045, 2.3995549]"
Courcelles - Pierre Demours,17047,9,2,11,26,"[48.883769733273496, 2.29858466343129]"
Cité des Sciences et de l'Industrie,19009,1,9,10,30,"[48.89659571178903, 2.384599149227142]"
Lassus - Delouvain,19038,1,0,1,20,"[48.8755044846, 2.3890327325519]"
Emile Blemont - Poteau,18029,3,0,3,39,"[48.8943782, 2.3415122]"
Orteaux - Mouraud,20118,1,1,2,24,"[48.85558642847872, 2.408762907764669]"
Provence - Chaussée d'Antin,9031,8,9,17,25,"[48.87428447542072, 2.332976511564311]"
Bellefond - Maubeuge,9117,1,1,2,31,"[48.878255397645, 2.3452642187476]"
Pelleport - Belgrand,20023,1,0,1,15,"[48.86500081847653, 2.403980836377493]"
Chabrol - d'Hauteville,10020,3,2,5,11,"[48.877018388033, 2.3513179644942]"
